SCALE,DPAWREGION,SCHEDULE,NAMESCIEN,NAMECOMMON,DIST,KNOWNESU_NUM,KNOWNESU_RELIAB,KNOWNESU_TREND,KNOWNESU_TRENDRELIAB,KNOWNESU_NOTES,KNOWNPOPS_NUM,KNOWNPOPS_TRANS,KNOWNPOPS_CAT,KNOWNPOPS_RELIAB,KNOWNPOPS_TREND,KNOWNPOPS_TRENDRELIAB,KNOWNPOPS_NOTES,MATIND_RAW,MATIND_CAT,MATIND_RELIAB,MATIND_TREND,MATIND_TRENDRELIAB,MATIND_NOTES,EOOAREA_RAW,EOOAREA_CAT,EOOAREA_METHOD,EOOAREA_TREND,EOOAREA_NOTES,AOOAREA_RAW,AOOAREA_CAT,AOOAREA_METHOD,AOOAREA_TREND,AOOAREA_NOTES,HABITATSPEC_FIRE,HABITATSPEC_SPATIAL,HABITATSPEC_RELIAB,HABITATSPEC_TREND,HABITATSPEC_NOTES,MOSTRECENTSURVEY_DETECT,MOSTRECENTSURVEY_NODETECT,MOSTRECENTSURVEY_ANECDOTAL,NOTES1,STATUSEPBC,STATUSWA,YEARCURRENTTHREAT,LISTING REASON,PASTPRESSURES_CAT,PASTPRESSURES_SPECIFY,FUTURETHREATS_CAT,FUTURETHREATS_SPECIFY,RECOVERYPLANCOMMENCE,RECOVERYGOALS,RECOVERYTARGETS,CHANGECONSSTATUS,MANREQ_RESEARCH_CAT,MANREQ_RESEARCH_SPECIFY,MANREQ_EVALUATION,MANREQ_EVALUATION_SPECIFY,MANREQ_CONSPLAN_CAT,MANREQ_CONSPLAN_SPECIFY,MANREQ_DIRECT_CAT,MANREQ_DIRECT_SPECIFY,MANREQ_INDIRECT_CAT,MANREQ_INDIRECT_SPECIFY,MANREQ_OTHER_CAT,MANREQ_OTHER_SPECIFY,NOTES2,REFERENCES,FULLASSMENTCOND_CAT,FULLASSMENTCOND_YEAR,LAST_UPDATED
Scale,DPaW region,Schedule,Scientific name,Common name,Geographic distribution,ESU number,ESU number reliability,ESU trend,ESU trend reliability,ESU notes,Population number,Population number translocated,Population IUCN category,Population number reliability,Population trend,Population trend reliability,Population notes,Mature individuals number,Mature individuals IUCN category,Mature individuals number reliability,Mature individuals trend,Mature individuals number trend reliability,Mature individuals notes,EOO area ha,EOO area IUCN category,EOO method,EOO trend,EOO notes,AOO area ha,AOO area IUCN category,AOO method,AOO trend,AOO notes,Habitat specificity fire,Habitat specificity restriction,Habitat specificity restriction reliability,Habitat specificity restriction trend,Habitat specificity notes,Last survey  detected year,Last survey not detected year,Last survey  anecdotal year,Additional notes 1 ,Conservation status EPBC,Conservation status WA,Conservation status assignment year,Conservation status IUCN criteria,Past pressures category,Past pressures comments,Future threats category,Future threats comments,Recovery plan commencement date,Recovery Goals,Recovery Targets,Reassessment of conservation status required,Management requirements research category,Management requirements research comment,Management requirements evaluation,Management requirements evaluation comment,Management requirements conservation planning category,Management requirements conservation planning comment,Management requirements direct intervention category,Management requirements direct intervention comment,Management requirements indirect intervention category,Management requirements indirect intervention comment,Management requirements other category,Management requirements other comment,Additional notes 2,References,Is full assessment condition,Last full assessment date,Last updated on
AVW01,Wheatbelt,Sch1: Extant taxa (Rare flora),Melaleuca sciotostyla,Wongan Melaleuca,"AVW01,AVW02,COO02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S&C: 1  Population record from pre 1992 (Pop 8),,,,,,,"Fire regime (intensity, frequency, seasonality, scale)",,,,,,,,,,CP ix) Other management plan (specify),update DRF and poorly known flora plan,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with private land holders, LGAs, recreational groups and pastoral leaseholders",,,EPBC conservation advice 2008,,,,
AVW01,Wheatbelt,Sch1: Extant taxa (Rare flora),Melaleuca sciotostyla,Wongan Melaleuca,"AVW01,AVW02,COO02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,
AVW01,Wheatbelt,Sch1: Extant taxa (Rare flora),Melaleuca sciotostyla,Wongan Melaleuca,"AVW01,AVW02,COO02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,
AVW01,Wheatbelt,Sch1: Extant taxa (Rare flora),Melaleuca sciotostyla,Wongan Melaleuca,"AVW01,AVW02,COO02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
AVW01,Wheatbelt,Sch1: Extant taxa (Rare flora),Melaleuca sciotostyla,Wongan Melaleuca,"AVW01,AVW02,COO02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Microcorys eremophiloides,Wongan Microcorys,AVW01 AVW02,1,Expert opinion,Static,Expert opinion,,12,0,Less than or equal to 20 (does not meet IUCN location/subpopulation criteria),Quantitative analysis of data not publically available,Unknown,Quantitative analysis of data not publically available,Central Wheatbelt: count as per subregions below; trend unknown although 2 pops (Pops 20 & 21) were found after 2002 but other pops haven't been monitored. TPFL19.,"3,505","< 10,000 (potentially meets mature individual criteria VU)",Quantitative unpublished data and expert opinion,Increased (new knowledge - biological survey),Quantitative analysis of data not publically available,"Central Wheatbelt: accept TPFL count, overall increase in number of individuals as Pop 11B was found in 2008 and has largest numbers; other pops haven't been monitored but smaller numbers. EPBC conservation advice 2008: 3146 mature individuals. ","23,682","< 100,000ha (potentially meets extent of occurrence criteria CR)",Alpha hull (alpha = 5) using point occurrence records in DPaW corporate database,Unknown,"S&C calc: area. Central Wheatbelt: as for number of populations, trend unknown although 2 pops (Pops 20 & 21) were found after 2002 but other pops haven't been monitored.",Unknown,Unknown,-,Unknown,"Central Wheatbelt: AOO unknown, trend unknown.",,Highly restricted,Quantitative analysis of data published or publically available following peer review,Static,Central Wheatbelt: Wongan Hills endemic - laterite greenstone hills,2011,,2013,Central Wheatbelt: Widespread throughout Wongan Hills area but restricted by geology,Vulnerable,Vulnerable,,C2a,Fire frequency,too infrequent,Fire frequency,too infrequent,None,,,Currently threatened taxa but likely priority or not threatened,SC iii) Determination/re-evaluation of conservation status/formal classification,"widespread in Wongan Hills area, current pops may underestimate numbers, priority?",EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP ix) Other management plan (specify),wheatbelt region DRF prioritisation process,MD i) Fire management for biodiversity (specify),develop fire management guidline,MI v) Ex-situ conservation (specify),seed collection and storage,,,Central Wheatbelt Dist: management requirements,,,,
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Microcorys eremophiloides,Wongan Microcorys,AVW01 AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Wheatbelt: past pressures and future threats,,,,,Demographic stochasticity,"senescence, lack of recruitment",Demographic stochasticity,"senescence, lack of recruitment, lack of appropriate disturbance",,,,,QTP iii) Quantifying threatening processes – species,determine fire response,,,CP ix) Other management plan (specify),update DRF and poorly known flora of Wongan-Ballidu,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with private landholder, community group",,,EPBC conservation advice 2008,,,,
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Microcorys eremophiloides,Wongan Microcorys,AVW01 AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Central Wheatbelt: while many trends are listed as unknown as some pops haven't been monitored recently, this taxon is widespread in Wongan Hills area, current understanding of populations may underestimate numbers",,,,,Invasive/introduced herbivores (specify),grazing by rabbits,Invasive/introduced herbivores (specify),grazing by rabbits,,,,,IN i) Vegetation mapping (specify scale),"vegetation mapping, to inform fire management guidelines",,,CP ix) Other management plan (specify),complete Wongan Hills Ecoscape conservation plan & investment plan,,,MI iv) Habitat management through whole of landscape management approach (specify),use of fire project results to inform Wongan Hills area fire management planning across tenure (FESA & LGA),,,,,,,
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Microcorys eremophiloides,Wongan Microcorys,AVW01 AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recreational disturbance (specify),walking track maintenance,Recreational disturbance (specify),walking track maintenance,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Microcorys eremophiloides,Wongan Microcorys,AVW01 AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cropping/Horticulture (specify),"historic clearing, fragmentation of habitat",Cropping/Horticulture (specify),"historic clearing, fragmentation of habitat",,,,,,,,,,,,,,,,,,,,,
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Microcorys eremophiloides,Wongan Microcorys,AVW01 AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),,,,,,,,,,,,,,,,,,,,,,
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Microcorys eremophiloides,Wongan Microcorys,AVW01 AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Microcorys eremophiloides,Wongan Microcorys,AVW01 AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Microcorys eremophiloides,Wongan Microcorys,AVW01 AVW02,Refer to State level,,,,,10,0,Refer to State level,Quantitative analysis of data not publically available,Unknown,Quantitative analysis of data not publically available,"Central Wheatbelt: count Pops 6,1 &16(1 biological pop) + Pop 4 + Pops 2&7(1 biological pop) + Pop 21 + Pop 5 + Pops 10,11&3(1 biological pop) + Pops 17&18 (1 biological pop) + Pop 19 + Pop 14 + Pop 15 = total 10 pops; trend unknown although 1 pop (Pop 21) was found after 2002 but other pops haven't been monitored.  TPFL16. ","2,952","< 10,000 (sub-region)",Quantitative unpublished data and expert opinion,Increased (new knowledge - biological survey),Quantitative analysis of data not publically available,"Central Wheatbelt: accept TPFL count, overall increase in number of individuals as Pop 11B was found in 2008 and has largest numbers; other pops haven't been monitored but smaller numbers.  ",Refer to State level,Refer to State level,-,Unknown,Refer to State level. Central Wheatbelt: trend unknown. S&C calc: 22426ha. ,Unknown,Unknown,-,Unknown,"Central Wheatbelt: AOO unknown, trend unknown.",,Highly restricted,Quantitative analysis of data published or publically available following peer review,Static,Central Wheatbelt: Wongan Hills endemic - laterite greenstone hills,2011,,2013,Central Wheatbelt: Widespread throughout Wongan Hills area but restricted by geology,Vulnerable,Vulnerable,,C2a,Fire frequency,too infrequent,Fire frequency,too infrequent,None,,,,,,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,,,MD i) Fire management for biodiversity (specify),,MI v) Ex-situ conservation (specify),seed collection and storage,,,Central Wheatbelt Dist: management requirements,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Microcorys eremophiloides,Wongan Microcorys,AVW01 AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Wheatbelt: past pressures and future threats,,,,,Demographic stochasticity,"senescence, lack of recruitment",Demographic stochasticity,"senescence, lack of recruitment, lack of appropriate disturbance",,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with private landholder, community group",,,EPBC conservation advice 2008,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Microcorys eremophiloides,Wongan Microcorys,AVW01 AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify),grazing by rabbits,Invasive/introduced herbivores (specify),grazing by rabbits,,,,,,,,,,,,,MI iv) Habitat management through whole of landscape management approach (specify),use of fire project results to inform Wongan Hills area fire management planning across tenure (FESA & LGA),,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Microcorys eremophiloides,Wongan Microcorys,AVW01 AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recreational disturbance (specify),walking track maintenance,Recreational disturbance (specify),walking track maintenance,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Microcorys eremophiloides,Wongan Microcorys,AVW01 AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cropping/Horticulture (specify),"historic clearing, fragmentation of habitat",Cropping/Horticulture (specify),"historic clearing, fragmentation of habitat",,,,,,,,,,,,,,,,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Microcorys eremophiloides,Wongan Microcorys,AVW01 AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),,,,,,,,,,,,,,,,,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Microcorys eremophiloides,Wongan Microcorys,AVW01 AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,,,,,,,,,,,,,,,,,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Microcorys eremophiloides,Wongan Microcorys,AVW01 AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVW01,Wheatbelt,Sch1: Extant taxa (Rare flora),Microcorys eremophiloides,Wongan Microcorys,AVW01 AVW02,Refer to State level,,,,,2,0,Refer to State level,Quantitative analysis of data not publically available,Unknown,Quantitative analysis of data not publically available,"Central Wheatbelt: count Pops 8&20(1 biological pop) + Pop 9 = total 2 pops; trend unknown although 1 pop (Pop 20) was found after 2002, other pops haven't been monitored. TPFL 3.",553,"< 1,000 (sub-region)",Quantitative unpublished data and expert opinion,Unknown,Quantitative analysis of data not publically available,"Central Wheatbelt: accept TPFL count, trend unknown as pops haven't been monitored.  ",Refer to State level,Refer to State level,-,Unknown,Refer to State level. Central Wheatbelt: trend unknown. S&C calc: 1255ha. ,Unknown,Unknown,-,Unknown,"Central Wheatbelt: AOO unknown, trend unknown.",,Highly restricted,Quantitative analysis of data published or publically available following peer review,Static,Central Wheatbelt: Wongan Hills endemic - laterite greenstone hills,2007,,,Central Wheatbelt: Widespread throughout Wongan Hills area but restricted by geology,Vulnerable,Vulnerable,,C2a,Fire frequency,too infrequent,Fire frequency,too infrequent,None,,,,,,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,,,MD i) Fire management for biodiversity (specify),,MI v) Ex-situ conservation (specify),seed collection and storage,,,Central Wheatbelt Dist: management requirements,,,,
AVW01,Wheatbelt,Sch1: Extant taxa (Rare flora),Microcorys eremophiloides,Wongan Microcorys,AVW01 AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Wheatbelt: past pressures and future threats,,,,,Demographic stochasticity,"senescence, lack of recruitment",Demographic stochasticity,"senescence, lack of recruitment, lack of appropriate disturbance",,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with private landholder, community group",,,EPBC conservation advice 2008,,,,
AVW01,Wheatbelt,Sch1: Extant taxa (Rare flora),Microcorys eremophiloides,Wongan Microcorys,AVW01 AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify),grazing by rabbits,Invasive/introduced herbivores (specify),grazing by rabbits,,,,,,,,,,,,,MI iv) Habitat management through whole of landscape management approach (specify),use of fire project results to inform Wongan Hills area fire management planning across tenure (FESA & LGA),,,,,,,
AVW01,Wheatbelt,Sch1: Extant taxa (Rare flora),Microcorys eremophiloides,Wongan Microcorys,AVW01 AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recreational disturbance (specify),walking track maintenance,Recreational disturbance (specify),walking track maintenance,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
AVW01,Wheatbelt,Sch1: Extant taxa (Rare flora),Microcorys eremophiloides,Wongan Microcorys,AVW01 AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cropping/Horticulture (specify),"historic clearing, fragmentation of habitat",Cropping/Horticulture (specify),"historic clearing, fragmentation of habitat",,,,,,,,,,,,,,,,,,,,,
AVW01,Wheatbelt,Sch1: Extant taxa (Rare flora),Microcorys eremophiloides,Wongan Microcorys,AVW01 AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),,,,,,,,,,,,,,,,,,,,,,
AVW01,Wheatbelt,Sch1: Extant taxa (Rare flora),Microcorys eremophiloides,Wongan Microcorys,AVW01 AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,,,,,,,,,,,,,,,,,,,,,,
AVW01,Wheatbelt,Sch1: Extant taxa (Rare flora),Microcorys eremophiloides,Wongan Microcorys,AVW01 AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Philotheca wonganensis,Wongan Philotheca,AVW02 GES01,Unknown,-,Unknown,Expert opinion,"Geraldton & Central Wheatbelt Dists: formerly disjunct populations at Northampton and Mt Matilda, unable to relocate Herbarium record at Northampton (GES01) but if this pop/ESU is lost it likely occurred prior to 2002. ",4,0,Less than or equal to 5 (potentially meets location/subpopulation criteria EN),Quantitative analysis of data not publically available,Static (no change),Quantitative analysis of data not publically available,"JM: count as per subregions below, although historic pop record (Pop 4 in GES01), not relocated and not thought to be extant in subregion (prior to 2002); overall trend is static (AVW02). TPFL 5. ","2,350","< 2,500 (potentially meets mature individual criteria EN)",Quantitative analysis of data not publically available,Unknown,Expert opinion,"JM: count as per subregions below, although historic pop record (Pop 4 in GES01), not relocated and not thought to be extant in subregion (prior to 2002); overall trend is unknown (present but not counted in 2013 in AVW02).",102,< 100ha (potentially meets extent of occurrence criteria CR),Minimum convex polygon (state detail):,Static (no change),"Central Wheatbelt Dist: area calc for Pops 1, 2, 3 and 5 in AVW02 only, Geraldton Dist GES01 pop excluded, trend static. ",<10,< 10ha (potentially meets area of occupancy criteria for CR),Estimate based on expert opinion ,Unknown,"Central Wheatbelt Dist: area estimate, trend unknown. ",,Highly restricted,Quantitative unpublished data and expert opinion,Static,Central Wheatbelt Dist: breakaways at Wongan Hills,2001,2008,2013,Central Wheatbelt Dist: past pressures and future threats. ,Endangered,Endangered,,C2a,Fire frequency,too infrequent,Fire frequency,too infrequent,None,,,,IN v) Threatened & priority flora locations (individual species),"opportunistic survey of potential habitat for areas with historic records or surrounding known populations, esp north of Mt Matilda NR",EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP i) Threatened taxa recovery plan (specify),requires IRP,MD i) Fire management for biodiversity (specify),develop fire management guidline,MI v) Ex-situ conservation (specify),seed collection and storage,,,Central Wheatbelt Dist: management requirements,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Philotheca wonganensis,Wongan Philotheca,AVW02 GES01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Demographic stochasticity,"senescence, lack of recruitment",Demographic stochasticity,"senescence, lack of recruitment, lack of appropriate disturbance",,,,,QTP iii) Quantifying threatening processes – species,determine fire response,,,CP ix) Other management plan (specify),wheatbelt region DRF prioritisation process,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with private landholder, community group",,,EPBC conservation advice 2008,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Philotheca wonganensis,Wongan Philotheca,AVW02 GES01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify),grazing by rabbits,Invasive/introduced herbivores (specify),grazing by rabbits,,,,,IN i) Vegetation mapping (specify scale),"vegetation mapping, to inform fire management guidelines",,,CP ix) Other management plan (specify),update DRF and poorly known flora of Wongan-Ballidu,,,MI iv) Habitat management through whole of landscape management approach (specify),use of fire project results to inform Wongan Hills area fire management planning across tenure (FESA & LGA),,,,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Philotheca wonganensis,Wongan Philotheca,AVW02 GES01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recreational disturbance (specify),walking track maintenance,Recreational disturbance (specify),walking track maintenance,,,,,PD i) Current population size,determine current population numbers (most recent counts are from 2001),,,CP ix) Other management plan (specify),complete Wongan Hills Ecoscape conservation plan & investment plan,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Philotheca wonganensis,Wongan Philotheca,AVW02 GES01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cropping/Horticulture (specify),"historic clearing, fragmentation of habitat",Cropping/Horticulture (specify),"historic clearing, fragmentation of habitat",,,,,,,,,,,,,,,,,,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Philotheca wonganensis,Wongan Philotheca,AVW02 GES01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),,,,,,,,,,,,,,,,,,,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Philotheca wonganensis,Wongan Philotheca,AVW02 GES01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,,,,,,,,,,,,,,,,,,,,,,
GES01,Midwest,Sch1: Extant taxa (Rare flora),Philotheca wonganensis,Wongan Philotheca,AVW02 GES01,Refer to State level,,,,,0,0,Refer to State level,Quantitative analysis of data not publically available,N/A,Quantitative analysis of data not publically available,"Geraldton Dist: historic pop record (Pop 4), not relocated and not thought to be extant in subregion; trend static (ie. not thought to be extant in 2002 and still not thought to be extant in 2012/13). JM: trend is N/A. TPFL 1",0,< 10 (sub-region),Expert opinion,N/A,Expert opinion,"Geraldton Dist: historic pop record (Pop 4), not relocated and not thought to be extant in subregion; ",Refer to State level,Refer to State level,-,,Refer to State level,N/A,N/A,-,,"Geraldton Dist: historic pop record (Pop 4), not relocated and not thought to be extant in subregion",,Unknown,-,Unknown,"Geraldton Dist: historic pop record (Pop 4), not relocated and not thought to be extant in subregion",1983,2008,,"Geraldton Dist: not thought to be extant in subregion, no past pressures/future threats included as thought to have been EX prior to 2002. ",Endangered,Endangered,,C2a,No known past pressures,not thought to be extant in subregion,No known future threats,not thought to be extant in subregion,None,,,,,,,,,,,,,,,,Geraldton Dist: no management requirements in this subregion. JM: survey? ,,,,
AVW02,Midwest,Sch1: Extant taxa (Rare flora),Philotheca wonganensis,Wongan Philotheca,AVW02 GES01,Refer to State level,,,,,4,0,Refer to State level,Quantitative analysis of data not publically available,Static (no change),Quantitative analysis of data not publically available,"Central Wheatbelt Dist: count as per TPFL, trend static (present but not counted in 2013). JM: Pops 1, 2, 3 and 5. ","2,350","< 2,500 (sub-region)",Quantitative analysis of data not publically available,Unknown,Expert opinion,"Central Wheatbelt Dist: count as per TPFL, trend unknown (present but not counted in 2013). ",Refer to State level,Refer to State level,-,Static (no change),Refer to State level. Central Wheatbelt Dist: trend static. ,<10,< 10ha (sub-region),Estimate based on expert opinion ,Unknown,"Central Wheatbelt Dist: area estimate, trend unknown. ",,Highly restricted,Quantitative unpublished data and expert opinion,Static,Central Wheatbelt Dist: breakaways at Wongan Hills,2001,,2013,Central Wheatbelt Dist: past pressures and future threats. ,Endangered,Endangered,,C2a,Fire frequency,too infrequent,Fire frequency,too infrequent,None,,,,IN v) Threatened & priority flora locations (individual species),"opportunistic survey of potential habitat for areas with historic records or surrounding known populations, esp north of Mt Matilda NR",EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,,,MD i) Fire management for biodiversity (specify),,MI v) Ex-situ conservation (specify),seed collection and storage,,,Central Wheatbelt Dist: management requirements,,,,
AVW02,Midwest,Sch1: Extant taxa (Rare flora),Philotheca wonganensis,Wongan Philotheca,AVW02 GES01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Demographic stochasticity,"senescence, lack of recruitment",Demographic stochasticity,"senescence, lack of recruitment, lack of appropriate disturbance",,,,,IN i) Vegetation mapping (specify scale),"vegetation mapping, to inform fire management guidelines",,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with private landholder, community group",,,EPBC conservation advice 2008,,,,
AVW02,Midwest,Sch1: Extant taxa (Rare flora),Philotheca wonganensis,Wongan Philotheca,AVW02 GES01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify),grazing by rabbits,Invasive/introduced herbivores (specify),grazing by rabbits,,,,,PD i) Current population size,determine current population numbers (most recent counts are from 2001),,,,,,,MI iv) Habitat management through whole of landscape management approach (specify),use of fire project results to inform Wongan Hills area fire management planning across tenure (FESA & LGA),,,,,,,
AVW02,Midwest,Sch1: Extant taxa (Rare flora),Philotheca wonganensis,Wongan Philotheca,AVW02 GES01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recreational disturbance (specify),walking track maintenance,Recreational disturbance (specify),walking track maintenance,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
AVW02,Midwest,Sch1: Extant taxa (Rare flora),Philotheca wonganensis,Wongan Philotheca,AVW02 GES01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cropping/Horticulture (specify),"historic clearing, fragmentation of habitat",Cropping/Horticulture (specify),"historic clearing, fragmentation of habitat",,,,,,,,,,,,,,,,,,,,,
AVW02,Midwest,Sch1: Extant taxa (Rare flora),Philotheca wonganensis,Wongan Philotheca,AVW02 GES01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),,,,,,,,,,,,,,,,,,,,,,
AVW02,Midwest,Sch1: Extant taxa (Rare flora),Philotheca wonganensis,Wongan Philotheca,AVW02 GES01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,,,,,,,,,,,,,,,,,,,,,,
